Unique_City_ID,City,County,State_Abbr,Zip,State
hallettpawneeok,Hallett,Pawnee,OK,74034.0,Oklahoma
culbertsonhitchcockne,Culbertson,Hitchcock,NE,69024.0,Nebraska
foster_townshipmckeanpa,Foster Township,McKean,PA,,Pennsylvania
fullertonorangeca,Fullerton,Orange,CA,92835.0,California
lynwoodcookil,Lynwood,Cook,IL,,Illinois
lone_grovecarterok,Lone Grove,Carter,OK,73443.0,Oklahoma
brookfieldcookil,Brookfield,Cook,IL,60513.0,Illinois
townsendmcintoshga,Townsend,McIntosh,GA,31331.0,Georgia
bradley_beachmonmouthnj,Bradley Beach,Monmouth,NJ,7720.0,New Jersey
redbirdwagonerok,Redbird,Wagoner,OK,74458.0,Oklahoma
middlesexyatesny,Middlesex,Yates,NY,14507.0,New York
christopherfranklinil,Christopher,Franklin,IL,62822.0,Illinois
swisshomelaneor,Swisshome,Lane,OR,97480.0,Oregon
crescent_cityiroquoisil,Crescent City,Iroquois,IL,60928.0,Illinois
virgilinahalifaxva,Virgilina,Halifax,VA,24598.0,Virginia
rhinedodgega,Rhine,Dodge,GA,31077.0,Georgia
saint_ansgarmitchellia,Saint Ansgar,Mitchell,IA,50472.0,Iowa
stockertownnorthamptonpa,Stockertown,Northampton,PA,18083.0,Pennsylvania
norfolkmadisonne,Norfolk,Madison,NE,68701.0,Nebraska
spring_lakemonmouthnj,Spring Lake,Monmouth,NJ,7762.0,New Jersey
new_cuyamasanta_barbaraca,New Cuyama,Santa Barbara,CA,93254.0,California
town_of_coxsackiegreeneny,Town of Coxsackie,Greene,NY,,New York
wintonmercedca,Winton,Merced,CA,95388.0,California
beurys_lakeschuylkillpa,Beurys Lake,Schuylkill,PA,,Pennsylvania
cascosaint_clairmi,Casco,Saint Clair,MI,,Michigan
benbrooktarranttx,Benbrook,Tarrant,TX,,Texas
ducktownpolktn,Ducktown,Polk,TN,37326.0,Tennessee
garberclaytonia,Garber,Clayton,IA,52048.0,Iowa
sebastianwillacytx,Sebastian,Willacy,TX,78594.0,Texas
burnt_ranchtrinityca,Burnt Ranch,Trinity,CA,95527.0,California
beech_mountainwatauganc,Beech Mountain,Watauga,NC,,North Carolina
claremontsurryva,Claremont,Surry,VA,23899.0,Virginia
melvillesuffolkny,Melville,Suffolk,NY,11747.0,New York
watongablaineok,Watonga,Blaine,OK,73772.0,Oklahoma
logansportcassin,Logansport,Cass,IN,46947.0,Indiana
manitowocmanitowocwi,Manitowoc,Manitowoc,WI,54220.0,Wisconsin
mckinleyvillehumboldtca,McKinleyville,Humboldt,CA,95519.0,California
sandy_springmontgomerymd,Sandy Spring,Montgomery,MD,20860.0,Maryland
lempstersullivannh,Lempster,Sullivan,NH,3605.0,New Hampshire
great_fallschestersc,Great Falls,Chester,SC,29055.0,South Carolina
kirbybexartx,Kirby,Bexar,TX,,Texas
streetharfordmd,Street,Harford,MD,21154.0,Maryland
town_of_naplesontariony,Town of Naples,Ontario,NY,,New York
pump_backmayesok,Pump Back,Mayes,OK,,Oklahoma
reedvillenorthumberlandva,Reedville,Northumberland,VA,22539.0,Virginia
morelandlycomingpa,Moreland,Lycoming,PA,,Pennsylvania
tullahasseewagonerok,Tullahassee,Wagoner,OK,,Oklahoma
smithtownsuffolkny,Smithtown,Suffolk,NY,11787.0,New York
woodwaymclennantx,Woodway,McLennan,TX,76712.0,Texas
wright_citymccurtainok,Wright City,McCurtain,OK,74766.0,Oklahoma
elroywaynenc,Elroy,Wayne,NC,,North Carolina
armstrong_creekforestwi,Armstrong Creek,Forest,WI,54103.0,Wisconsin
o_fallonsaint_charlesmo,O Fallon,Saint Charles,MO,,Missouri
east_rutherfordjuniatapa,East Rutherford,Juniata,PA,,Pennsylvania
santa_paulaventuraca,Santa Paula,Ventura,CA,93060.0,California
lone_treedouglasco,Lone Tree,Douglas,CO,80124.0,Colorado
berkleyadamsco,Berkley,Adams,CO,,Colorado
new_hopehennepinmn,New Hope,Hennepin,MN,,Minnesota
nags_headdarenc,Nags Head,Dare,NC,27959.0,North Carolina
friendswoodgalvestontx,Friendswood,Galveston,TX,77546.0,Texas
terrytownscotts_bluffne,Terrytown,Scotts Bluff,NE,,Nebraska
edgecliff_villagetarranttx,Edgecliff Village,Tarrant,TX,,Texas
laurelsussexde,Laurel,Sussex,DE,19956.0,Delaware
lower_southampton_townshipbuckspa,Lower Southampton Township,Bucks,PA,,Pennsylvania
rardensciotooh,Rarden,Scioto,OH,45671.0,Ohio
augustaoneidany,Augusta,Oneida,NY,,New York
new_castlelawrencepa,New Castle,Lawrence,PA,16105.0,Pennsylvania
interlachenputnamfl,Interlachen,Putnam,FL,32148.0,Florida
kennethrockmn,Kenneth,Rock,MN,56147.0,Minnesota
linndalecuyahogaoh,Linndale,Cuyahoga,OH,,Ohio
truckeenevadaca,Truckee,Nevada,CA,96161.0,California
waterloodouglasne,Waterloo,Douglas,NE,68069.0,Nebraska
ottervillejerseyil,Otterville,Jersey,IL,,Illinois
alsteadcheshirenh,Alstead,Cheshire,NH,3602.0,New Hampshire
horn_hillcovingtonal,Horn Hill,Covington,AL,,Alabama
larchmontwestchesterny,Larchmont,Westchester,NY,10538.0,New York
strathmoor_manorjeffersonky,Strathmoor Manor,Jefferson,KY,,Kentucky
derbyorleansvt,Derby,Orleans,VT,5829.0,Vermont
headrickjacksonok,Headrick,Jackson,OK,73549.0,Oklahoma
yarmouthbarnstablema,Yarmouth,Barnstable,MA,,Massachusetts
bentonvillebentonar,Bentonville,Benton,AR,72712.0,Arkansas
west_gateprince_williamva,West Gate,Prince William,VA,,Virginia
middle_islandsuffolkny,Middle Island,Suffolk,NY,11953.0,New York
eugenelaneor,Eugene,Lane,OR,97408.0,Oregon
parma_heightscuyahogaoh,Parma Heights,Cuyahoga,OH,,Ohio
waldronscottar,Waldron,Scott,AR,72958.0,Arkansas
beverly_beachflaglerfl,Beverly Beach,Flagler,FL,,Florida
denhampinemn,Denham,Pine,MN,,Minnesota
newarkkendallil,Newark,Kendall,IL,60541.0,Illinois
cambridgesomersetme,Cambridge,Somerset,ME,4923.0,Maine
linnwalworthwi,Linn,Walworth,WI,,Wisconsin
liberty_townshipmercerpa,Liberty Township,Mercer,PA,,Pennsylvania
east_griffinspaldingga,East Griffin,Spalding,GA,,Georgia
wyalusing_townshipbradfordpa,Wyalusing Township,Bradford,PA,,Pennsylvania
saint_charleshopkinsky,Saint Charles,Hopkins,KY,42453.0,Kentucky
springdalelexingtonsc,Springdale,Lexington,SC,,South Carolina
mckeansburgschuylkillpa,McKeansburg,Schuylkill,PA,,Pennsylvania
charlevoixcharlevoixmi,Charlevoix,Charlevoix,MI,49720.0,Michigan
princevillekauaihi,Princeville,Kauai,HI,96722.0,Hawaii
town_of_coloniealbanyny,Town of Colonie,Albany,NY,,New York
east_walpolenorfolkma,East Walpole,Norfolk,MA,2032.0,Massachusetts
rocktonwinnebagoil,Rockton,Winnebago,IL,61072.0,Illinois
corinthheardga,Corinth,Heard,GA,,Georgia
bronsonlevyfl,Bronson,Levy,FL,32621.0,Florida
cadizharrisonoh,Cadiz,Harrison,OH,43907.0,Ohio
alliancestarkoh,Alliance,Stark,OH,44601.0,Ohio
madridbooneia,Madrid,Boone,IA,50156.0,Iowa
university_heightsjohnsonia,University Heights,Johnson,IA,,Iowa
montaguesiskiyouca,Montague,Siskiyou,CA,96064.0,California
glenwood_springsgarfieldco,Glenwood Springs,Garfield,CO,81601.0,Colorado
carriergarfieldok,Carrier,Garfield,OK,73727.0,Oklahoma
green_islandjacksonia,Green Island,Jackson,IA,,Iowa
wyandottewaynemi,Wyandotte,Wayne,MI,48192.0,Michigan
whitefish_baymilwaukeewi,Whitefish Bay,Milwaukee,WI,,Wisconsin
jackcoffeeal,Jack,Coffee,AL,36346.0,Alabama
sylvajacksonnc,Sylva,Jackson,NC,28779.0,North Carolina
